node,betweenness_centrality,closeness_centrality,degree_centrality
adinep 20 tablet,3.9616768675442404e-05,0.8518346852066435,0.13740458015267176
adinep 5mg tablet,3.9616768675442404e-05,0.8518346852066435,0.13740458015267176
admadol 100mg injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
admadol 50mg capsule,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
admadol-p 325mg/37.5mg tablet,1.073315002030881e-05,0.8348095995154818,0.05343511450381679
adnil 0.5mg tablet,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
adobe 10mg tablet,3.9616768675442404e-05,0.8518346852066435,0.13740458015267176
adobe 5mg tablet,3.9616768675442404e-05,0.8518346852066435,0.13740458015267176
adsleep 10mg tablet,2.013277755628682e-05,0.83925717330086,0.0916030534351145
vertigo,0.0002944010428651765,0.34847097601171945,0.04147550009175995
agitation,0.00010026435169501935,0.31143963777208006,0.0356028629106258
double vision,0.00010026435169501935,0.31143963777208006,0.0356028629106258
memory loss,0.00010026435169501935,0.31143963777208006,0.0356028629106258
back pain,0.0003419166828372567,0.34966619709683344,0.043310699210864376
adsleep 5mg tablet,2.013277755628682e-05,0.83925717330086,0.0916030534351145
adulax tablet,1.6745408863379544e-05,0.7151566249432518,0.061068702290076333
cold extremities,0.00018138202013007833,0.27749963544451467,0.03908974123692421
nightmares,0.00018138202013007833,0.27749963544451467,0.03908974123692421
slow heart rate,0.00020562795929897896,0.3473261544077386,0.039456781060745086
advin m 18.75mg/162.5mg tablet,3.134616001256474e-05,0.8407929851315288,0.11450381679389313
advin tablet,3.134616001256474e-05,0.8407929851315288,0.11450381679389313
adzolam 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
adzolam 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
aece t 50mg/325mg tablet,3.134616001256474e-05,0.8407929851315288,0.11450381679389313
aecef t 100mg injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
aedon 10 mg tablet,3.9616768675442404e-05,0.8518346852066435,0.13740458015267176
aeltram 100mg injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
